Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 15 anos ou mais de idade 2010,Produto Interno Bruto per capita 2013,Produto Interno Bruto per capita 2014,Produto Interno Bruto per capita 2015,Produto Interno Bruto per capita 2016,Taxa de mortalidade infantil 2013,Taxa de mortalidade infantil 2014,Taxa de mortalidade infantil 2015,Taxa de mortalidade infantil 2016,Taxa de mortalidade infantil 2017,% de meninas de 10 a 14 anos de idade que tiveram filhos 2013,% de meninas de 10 a 14 anos de idade que tiveram filhos 2014,% de meninas de 10 a 14 anos de idade que tiveram filhos 2015,% de meninas de 10 a 14 anos de idade que tiveram filhos 2016,% de meninas de 10 a 14 anos de idade que tiveram filhos 2017,% de pobres 2010
Alvorada do Sul (PR),74.55,13.3,10.21,14.8,12.96,14.65,14.56,12.05,8.4,0,0,9.01,2.41,0.84,1.94,,,11.95
Alvorada (RS),77.41,9.77,3.93,8.17,8.37,8.18,8.08,9.55,9.65,9.7,13.51,10.11,0.75,0.85,0.49,0.69,0.37,7.32
Alvorada (TO),75.55,12.9,10.22,21.32,20.99,19.61,21.1,19.8,8,32.79,0,18.02,,,0.82,,0.9,11.18
Amajari (RR),73.9,15.3,38.64,9.66,7.78,8.08,8.19,55.37,53.69,29.5,39.27,28.17,4.56,3.36,4.15,3.34,3.67,75.51
Amambai (MS),74.07,19.4,11.14,14.48,14.99,15.09,15.32,31.25,27.38,21.67,21.08,13.93,3.13,3.13,3.41,2.41,2.79,20.69
Amapá (AP),72.4,18.3,10.99,13.27,15.35,11.04,10.97,19.48,0,0,22.56,0,1.3,2.13,3.73,1.5,3.55,42.01
Amapá do Maranhão (MA),66.29,42.6,33.27,3.96,4.14,4.16,4.72,0,16.13,8.06,23.08,0,0.78,1.61,3.23,4.62,1.33,58.52
Amaporã (PR),72.09,16.9,13.01,11.49,10.4,10.91,11.33,0,23.53,12.66,0,0,4.23,,5.06,1.15,2.44,12.97
Amaraji (PE),69.89,27.3,30.92,5.82,5.69,5.4,5.48,17.65,20.77,23.6,12.82,19.74,2.06,1.48,1.47,1.92,1.32,37
Amaral Ferrador (RS),73.13,15.4,12.05,10.29,8.74,9.19,10.74,16.67,16.39,17.54,0,0,1.67,1.64,,,2.08,16.6
Amaralina (GO),73.75,14.9,15.87,11.15,9.69,9.37,9.1,95.24,0,0,0,0,,,,4,,38.74
Amarante do Maranhão (MA),67.93,36.4,28.41,4.13,4.43,4.5,4.65,29.41,25.51,18.59,12.18,21.92,4.14,2.04,3.72,4.06,3.17,50
Amarante (PI),70,27.8,27.95,4.45,5.08,4.81,4.78,11.72,19.92,9.71,9.87,40.15,0.78,1.59,2.27,0.66,1.82,38.76
Amargosa (BA),73.4,18.1,20.85,6.05,6.17,6.02,5.9,8.75,8.81,9.39,25.97,8.66,0.44,1.32,1.17,1.3,1.52,33.42
Amaturá (AM),71.36,21.7,22.4,4.8,4.71,4.42,3.98,26.82,45.45,42.06,14.29,18.73,2.3,1.89,2.34,1.43,2.25,62.64
Amélia Rodrigues (BA),73.59,17.7,13.22,7.27,7.84,7.22,7.05,10.45,17.54,14.81,13.16,31.53,0.7,1.4,0.74,1.75,0.9,28.19
América Dourada (BA),70.05,27.2,27.53,3.81,4.12,4.42,4.78,0,11.45,23.04,23.81,12.88,1.49,1.53,2.3,0.79,1.29,52.57
Americana (SP),77.55,10.77,2.74,37.59,35.74,31.11,29.49,9.03,14.89,10.81,7.21,7.47,0.19,0.48,0.21,0.08,0.11,1.39
Americano do Brasil (GO),73.77,14.9,15.72,10.1,7.87,8.96,9.1,25.32,0,0,20.83,35.71,2.53,,,2.08,,9.2
Américo Brasiliense (SP),76.12,13.1,6.89,14.66,14.58,14.35,14.37,11.09,16.1,9.31,6.48,16,0.55,0.54,0.74,,0.8,3.72
Américo de Campos (SP),74.04,16.2,7.88,9.85,11.41,10.29,11.06,19.61,0,0,0,0,,,1.72,,,4.45
Ametista do Sul (RS),73.54,14.8,11.41,8.04,8.2,8.31,8.1,0,0,0,0,25.97,3.85,,2.13,,,16.67
Amontada (CE),70.63,24.6,25.67,5.8,6.92,5.47,6.58,11.83,22.33,14.14,7.26,11.08,2.07,1.59,1.41,1.6,1.25,57.54
Amorinópolis (GO),73.79,14.9,18.12,13.57,11.95,10.71,10.53,0,0,66.67,0,0,3.23,2.44,,,,9.54
Amparo de São Francisco (SE),68.66,31.9,23.84,7.56,8.26,8.23,7.23,27.78,17.86,0,51.28,25.64,,,,,2.56,37.22
Amparo do Serra (MG),73.63,17.5,16.81,5.98,6.07,6.03,6.28,15.15,36.36,0,16.67,0,,,,,,21.97
Amparo (PB),70.14,27,21.49,6.21,6.11,6.68,6.55,0,51.28,0,0,0,,,2.27,2.63,2.94,47.32
Amparo (SP),77.27,10.6,4.7,39.47,38.65,33.26,32.32,7.06,5.72,5.5,4.91,5.65,0.47,0.92,0.55,0.49,0.11,2.49
Ampére (PR),74.45,13.4,7.5,18.74,19.57,18.96,18.64,4,7.17,20.66,11.72,7.52,0.8,1.08,,,0.75,9.11
Anadia (AL),70.35,28.4,36.16,5.44,5.51,5.11,5.23,20.58,15.21,22.03,33.33,24.39,1.23,1.14,0.88,0.48,0.98,47.59
Anagé (BA),71.27,23.7,33.89,4.62,5.2,5.63,5.37,12.88,21.43,20,30.7,14.08,1.29,0.71,,0.44,0.94,39.06
Anahy (PR),75.66,11.8,11.82,16.48,17.78,17.85,20.03,,,,,,,3.7,,,,6.21
Anajás (PA),71.43,22.8,32.98,4.86,4.86,4.74,4.48,19.02,16.28,6.74,14.65,14.04,2.04,1.36,2.16,3.79,2.69,62.02
Anajatuba (MA),70.69,27.2,27.31,4.06,4.19,4,4.25,3.16,5.59,8.17,17.34,21.28,1.27,0.84,1.09,0.29,0.61,55.32
Analândia (SP),76.66,11.4,6.61,22.53,22.8,19.65,19.77,0,20,38.46,18.18,21.28,,,,1.82,,4.81
Anamã (AM),69.48,27,15.84,6.07,5.66,4.9,5,24.88,0,12.27,21.98,10.2,2.99,2.36,1.84,0.55,2.04,51.08
Ananás (TO),73.23,17.9,19.27,7.16,6.85,6.59,7.38,30.12,6.13,17.14,6.41,6.1,1.2,1.84,1.71,1.28,1.22,22.42
Ananindeua (PA),74.24,17.17,3.44,8.3,9.09,8.89,8.72,15.93,16.3,14.05,13.98,13.98,1.12,1,0.88,0.92,0.72,13.94
Anápolis (GO),74.33,15.14,5.77,27.82,27.67,26.2,23.48,12.61,12.56,11.21,11.76,12.42,0.53,0.6,0.54,0.51,0.42,5.74
Anapu (PA),72.25,20.6,19.24,7.44,8.26,8.58,7.82,20.72,29.52,15,27.83,22.22,2.07,2.77,2,3.65,2.54,44.8
Anapurus (MA),70.85,26.7,29.9,6.05,6.69,5.17,5.72,11.58,24.05,11.15,7.81,12.86,0.77,2.75,2.23,1.17,2.25,54.45
Anastácio (MS),72.33,22.8,11.54,9.82,10.57,11.52,11.02,10.67,20.5,16.22,16.17,21.86,1.6,1.37,1.89,1.08,0.82,14.29
Anaurilândia (MS),74.58,18.5,11.87,17.41,15.52,14.69,15.94,30.3,27.78,0,25,0,2.02,0.93,1.69,1.25,1.22,14.67
Anchieta (ES),76.35,12.3,6.75,128.32,134.6,70.96,16.86,11.47,4.42,11.55,10.39,0,1.15,1.55,1.15,1.3,0.57,10.53
Anchieta (SC),73.01,16.6,7.21,22.19,14.82,14.38,15.55,12.82,12.5,15.87,0,15.15,,1.25,,,,10.1
Andaraí (BA),70.84,24.9,26.56,4.02,4.36,4.63,4.59,11.49,0,10.87,6.9,0,0.57,1.23,1.09,1.38,3.41,53.89
Andirá (PR),75.25,12.4,10.11,21.95,20.72,20.94,21.86,4.18,13.89,8.06,11.58,8.13,2.09,1.85,0.4,0.39,0.81,6.27
Andorinha (BA),68.88,30.9,25.71,6.74,7.66,6.6,7.35,6.33,29.76,18.75,22.6,10.42,1.27,1.19,1.88,1.69,0.52,39.45
Andradas (MG),77.69,11.5,8.47,14.56,14.37,14.14,14.05,16.43,13.3,6.25,4.13,11.83,0.23,0.67,0.21,0.41,0.79,2.51
Andradina (SP),78.07,9.6,5.88,29.77,28.99,33.22,36.03,5.59,9.63,7.97,14.49,13.35,0.56,0.28,0.66,0.72,0.59,3.57
André da Rocha (RS),75.19,13.3,6.67,65.82,65.77,59.26,63.09,0,0,0,0,0,,,,,,6.76
Andrelândia (MG),74.06,16.8,10.86,10.24,10.63,10.62,10.37,24.39,8.93,7.69,8.77,9.01,,,,,,14.75
Angatuba (SP),74.6,15.4,6.63,23.66,25.55,22.25,22.7,3.27,24.02,8.8,8.6,6.31,1.63,0.9,0.88,0.29,0.32,6.84
Angelândia (MG),70.36,23.5,25.48,7,7.12,5.77,6.24,33.9,7.14,20.2,9.62,19.42,0.85,1.43,,2.88,,34.97
Angélica (MS),75.34,17.2,12.06,36.72,32.58,38.12,40.43,0,12.74,5.88,10.58,5.81,1.29,1.27,,1.59,1.16,7.29
Angelim (PE),70.08,26.7,33.4,5.48,6.01,6.43,6.68,42.94,12.74,6.1,13.89,23.26,1.23,0.64,1.83,0.69,1.55,48.55
Angelina (SC),72.82,16.9,10.49,16.62,16.21,14.77,15.09,0,0,0,0,18.52,,,,,,9.69
Angical (BA),71.67,22.6,24.54,5.57,6.26,6.19,6.49,8.58,5.29,21.16,31.09,11.63,0.86,1.06,2.12,1.55,0.58,41.72
Angical do Piauí (PI),69.2,30.4,24.89,5.04,5.39,5.03,4.9,21.05,12.35,11.11,34.78,11.76,1.05,,1.11,,1.18,35.52
Angicos (RN),70.34,25.6,26.34,7.07,7.17,6.66,6.65,7.19,0,13.61,29.41,17.09,2.16,2.11,1.36,0.74,0.85,29.17
Angico (TO),71.37,22.7,17.21,7.21,7.19,8.65,8.59,0,25,0,0,0,,2.5,,,2.33,29.18
Angra dos Reis (RJ),75.75,12.97,5.13,29.41,33.01,29.15,31.63,12.06,11.28,10.45,8.37,6.83,0.87,1.13,0.77,0.8,0.57,6.69
Anguera (BA),70.94,24.6,22.7,3.82,3.72,3.9,3.6,0,0,21.05,25,0,2.25,1.09,,1.25,,38.32
Ângulo (PR),74.62,13.2,11.29,19.06,18.4,19.95,20.17,0,0,0,0,48.78,2.17,,,,,4.34
Anhanguera (GO),73.11,17.8,3.73,10.9,10.92,10.4,9.49,76.92,0,0,0,0,,,,,,1.85
Anhembi (SP),76.78,12.1,6.54,14.56,13.91,11.36,13.36,12.35,0,14.08,0,0,2.47,,,1.22,3.95,6.42
Anhumas (SP),75.67,13.7,7.91,14.87,12.48,10.65,11.21,0,26.32,0,33.33,0,,2.63,2.08,,1.75,6.9
Anicuns (GO),75.01,13.2,10.35,14.12,13.51,12.23,12.55,9.39,0,8.62,4.13,10.2,0.94,0.92,0.43,0.83,0.51,8.31
Anísio de Abreu (PI),71.09,24.6,29.18,4.09,4.64,4.64,4.7,13.99,46.67,6.94,28.17,24.19,2.1,1.33,1.39,1.41,0.81,48.41
Anita Garibaldi (SC),74.53,14.2,13.29,9.44,9.86,10.74,11.98,17.54,36.7,20.62,19.61,24.1,0.88,,3.09,2.94,2.41,19.41
Anitápolis (SC),75.17,13.3,10.7,14.2,12.5,12.05,12.22,,,,,,,3.45,,,,7.66
Anori (AM),70.42,24.3,19.62,7.02,7.06,5.79,5.96,21.05,14.98,11.76,15.04,19.46,2.46,4.12,3.14,2.26,1.56,52.29
Anta Gorda (RS),77.08,10.1,5.62,19.78,21.36,20.34,20.01,0,0,0,0,17.86,,,,1.69,,1.87
Antas (BA),69.35,29.4,28.33,3.75,3.89,3.73,3.86,7.3,12.5,7.94,14.08,14.29,0.73,1.88,,0.7,1.43,38.43
Antonina do Norte (CE),71.32,22.7,32.61,4.9,5.3,4.78,4.71,17.86,20.2,0,25.32,31.25,,,,2.53,3.13,43.92
Antonina (PR),75.3,12.3,8.62,15.66,13.84,14.28,17.96,6.33,6.6,3.86,23.81,14.34,0.95,1.98,0.77,0.79,2.15,17.27
Antônio Almeida (PI),71.85,22.5,24.8,21.69,19.25,12.15,9.8,22.73,0,0,0,48.78,4.55,2,,,4.88,33.76
Antônio Cardoso (BA),71.06,24.3,29.07,6.79,6.17,5.84,4.95,6.17,10.64,7.14,22.06,14.6,,0.53,,0.74,1.46,37.58
Antônio Carlos (MG),75.3,14.9,11.56,9.57,8.07,7.82,8.08,8.13,0,0,0,23.08,,,1.61,,,16.85
Antônio Carlos (SC),78.4,9.3,4.11,51.25,53.14,49.39,48.38,0,8.62,0,0,16,,,,,,1.01
Antônio Dias (MG),75.93,13.9,15.74,10.05,9.87,11.38,9.95,17.86,18.18,7.41,10.31,21.05,0.89,0.91,1.48,,,22.14
Antônio Gonçalves (BA),69.45,29.1,19.72,3.4,3.67,3.77,3.52,6.62,0,20.62,17.24,12.12,1.99,2.73,1.03,1.72,1.21,35.74
Antônio João (MS),72.94,21.6,13.45,12.37,12.72,15.97,15.2,22.86,0,34.25,25,37.88,2.86,3.64,2.74,1.88,1.52,25.93
Antônio Martins (RN),70.6,24.9,30.78,4.71,4.85,4.6,4.57,12.66,11.11,9.09,25.97,0,2.53,,0.91,5.19,,42.55
Antônio Olinto (PR),74.49,13.4,6.83,15.49,16.52,15.34,14.5,26.32,0,27.78,21.98,0,1.32,1.52,,1.1,2.67,23.67
Antônio Prado de Minas (MG),74.79,15.6,11.08,8.39,8.51,8.45,8.47,0,0,0,0,222.22,,,,,,12.08
Antônio Prado (RS),75.07,13.5,4.82,23.44,25.36,26.15,25.65,23.26,6.94,0,29.2,16,1.55,,0.67,,,1.14
Aparecida de Goiânia (GO),75.01,13.2,5.3,16.23,17.98,15.94,14.95,16.64,13.33,13.16,13.17,15.45,0.82,0.79,0.75,0.7,0.53,5.22
Aparecida D'Oeste (SP),73.25,17.6,12.12,12.05,14.27,14.34,14.98,21.74,0,0,0,0,,,,,,7.74
Aparecida do Rio Doce (GO),73.84,14.8,12.9,18.7,21.04,19.99,19.52,,,,,,,2.5,,,,12.41
Aparecida do Rio Negro (TO),72.48,19.8,14.93,11.02,12.54,11.14,10.45,0,0,12.35,14.49,0,3.03,1.41,1.23,,1.27,29.85
Aparecida do Taboado (MS),73.23,21,9.96,28.09,24.77,23.74,23.97,11.87,8.65,10.87,9.9,7.92,1.48,1.44,0.27,0.66,0.79,6.02
Aparecida (PB),69.79,28,29.29,5.58,6.16,6.15,5.77,9.9,16.95,23.62,10.53,27.78,2.97,0.85,0.79,2.11,1.39,38.01
Aparecida (SP),74.67,15.2,3.43,17.61,18.81,20.02,20.42,35.29,9.62,14.74,13.86,6.25,,0.19,0.42,0.79,0.21,4.54
Aperibé (RJ),72.1,18.4,10.6,10.52,10.32,10.26,10,7.41,14.6,14.39,26.85,27.4,1.48,0.73,0.72,,0.68,9.4
Apiacá (ES),75.45,13.5,15.25,7.36,7.24,7.32,7.81,0,20.2,17.24,0,10.75,,1.01,,1.45,,21.7
Apiacás (MT),73.54,17.7,13.38,9.84,10.2,10.31,9.21,18.18,9.01,23.26,35.97,7.81,0.91,0.9,0.78,,2.34,12.73
Apiaí (SP),75.07,14.6,7.62,21.48,23.81,20.07,16.27,11.36,5.18,2.54,35.09,16.67,0.85,1.55,1.78,0.58,0.28,21.67
Apicum-Açu (MA),68.1,35.8,18.69,3.55,3.91,3.65,3.79,18.59,25.09,13.38,19.48,16.19,2.23,2.51,1,1.62,2.02,51.98
Apiúna (SC),74.61,14.1,5.93,24,29.88,28.8,24.61,16,12.82,39.37,8.62,0,0.8,0.64,0.79,,1.38,2.95
Apodi (RN),69.79,27.3,23.91,12.56,11.5,8.35,7.68,6.73,12.11,6.85,24.57,8.13,0.45,0.73,0.68,0.74,0.54,31.03
Aporá (BA),70.05,27.3,27.81,3.97,4.15,4.2,4.08,29.41,20.73,13.04,9.52,5.26,1.96,1.04,1.74,2.38,4.21,55.3
Aporé (GO),74.4,14,12.8,32.84,35.43,41.47,48.87,14.29,0,0,15.63,61.54,,2.82,3.28,1.56,1.54,5.72
Apuarema (BA),69.09,30.3,31.03,5.46,5.38,5.31,5.82,14.71,31.75,10.87,24.69,11.9,2.94,4.76,2.17,3.7,1.19,39.49
Apucarana (PR),75.71,12.56,5.9,16.41,17.02,16.08,14.97,9.95,11.09,12.81,10.61,18.48,0.47,0.5,0.61,0.35,0.5,3.09
Apuí (AM),71.29,21.9,10.77,6.65,7.5,7.21,5.85,17.94,17.94,19.61,14.22,8.58,1.79,1.79,0.49,2.37,2.58,26.84
Apuiarés (CE),69.44,28.2,26.8,3.85,4.32,4.31,4.21,6.62,20.27,19.74,15.04,19.74,1.32,0.68,0.66,3.01,0.66,49.77
Aquidabã (SE),69.83,28.1,29.5,7.44,7.08,7.54,7.22,31.36,13.7,17.54,19.76,20.98,1.05,1.71,1.4,1.19,0.35,41.87
Aquidauana (MS),75.39,17.1,8.53,11.95,12.81,12.37,12.33,19.56,19.82,19.21,9.71,8.06,1.04,1.72,2.05,1.25,1.38,17.36
Aquiraz (CE),72.27,20.2,20.83,17.02,16.89,16.98,18.15,5.3,11.13,4.82,24.93,15.76,1.06,0.74,0.96,1.51,1.11,24.19
Arabutã (SC),76.75,11.2,4.04,17.77,18.28,17.72,16.56,0,23.81,0,21.74,0,,2.38,,,,7.77
Araçagi (PB),69.7,28.3,38.6,5.64,5.76,5.78,5.52,30,13.16,14.71,14.22,9.9,,0.44,0.49,1.42,1.49,47.59
Araçaí (MG),73.28,18.1,10.29,12.22,12.54,11.87,12.74,0,0,40,0,0,,,,,,11.04
Aracaju (SE),74.36,15.61,6.61,19.17,18.8,18.11,17.07,14.93,17.84,15.84,14.89,17.2,0.94,1,0.83,0.86,0.68,11.11
Araçariguama (SP),73.86,16.6,6.72,60.06,60.69,57.22,68.44,16.61,18.52,16.39,13.2,12.01,1,1.85,0.33,,,5.2
Araças (BA),69.65,28.5,23.15,29.47,22.73,15.21,6.67,12.27,5.21,17.05,32.43,13.16,0.61,0.52,1.14,0.54,,45.82
Aracati (CE),69.52,27.9,20.82,11.55,11.81,11.54,11.02,10.36,11.01,13.73,7.65,12.07,1.04,0.88,0.49,0.86,0.6,31.68
Aracatu (BA),70.25,26.6,29.35,4.59,4.52,4.39,4.23,24.54,12.99,6.33,12.58,0,,1.3,0.63,0.63,1.85,28.51
Araçatuba (SP),75.46,15.28,3.83,26.77,25.29,24.15,23.77,7.43,7.61,12.14,12.94,11.02,0.39,0.76,0.53,0.4,0.57,3.14
Araci (BA),69.79,28,34.37,4.47,4.77,4.69,4.68,25.19,19.73,25.56,11.3,17.33,2.02,2.73,2.56,1.13,2.13,52.7
Aracitaba (MG),74.37,16.3,12.6,6.95,7,6.84,6.96,0,0,62.5,0,0,,,,6.67,,23.13
Aracoiaba (CE),70.56,24.8,30.07,4.46,4.88,4.85,4.84,10.26,10.47,13.77,17.72,10.44,1.03,1.05,1.1,1.01,1.31,42.69
Araçoiaba da Serra (SP),76.61,12.4,4.9,13.02,13.31,14.23,13.55,2.46,22.16,11.01,9.05,7.23,0.74,0.55,0.66,0.23,,4.14
Araçoiaba (PE),70.87,24.4,24.04,4.17,4.61,4.19,4.26,19.66,12.74,8.77,10.38,13.2,0.56,2.23,2.34,1.73,,36.6
Aracruz (ES),75.26,13.7,7.42,47.65,42.1,40.37,31.63,7.75,7.87,12.78,11.02,17.63,0.99,1.05,0.85,1.24,0.49,9.67
Araçuaí (MG),74.27,16.5,17.35,6.39,7.2,7.05,6.5,6.62,8.51,21.43,19.56,16.28,0.44,0.43,1.43,0.49,0.7,29.55
Araçu (GO),75.26,12.8,16.23,9.37,9.68,9.05,9.18,0,0,0,0,17.54,,2.17,,,,11.42
Aragarças (GO),74.82,13.4,9.07,7.46,8.01,7.86,7.24,14.18,9.74,26.32,11.86,16.46,1.42,0.97,0.75,1.19,0.41,7.5
Aragoiânia (GO),75.19,12.9,10.11,7.3,7.88,7.55,6.85,15.75,61.95,0,7.58,7.87,3.94,0.88,1.32,2.27,,9.96
Aragominas (TO),69.36,28.5,23.8,6.99,7.07,7.17,7.2,0,0,0,0,0,4.35,,,2.99,2.94,33.63
Araguacema (TO),73.29,17.8,16.36,7.31,7.99,7.87,9.06,0,14.71,23.81,10.53,17.7,0.99,1.47,1.19,1.05,,36.69
Araguaçu (TO),72.78,19,14.48,11.47,12.34,13,13.78,19.23,0,10.1,0,41.24,2.88,1.92,2.02,2.15,2.06,18.59
Araguaiana (MT),74.01,17,12.42,13.79,14.2,14.76,15.85,0,0,27.03,34.48,0,,,,,,9.57
Araguaína (TO),74.23,13.06,8.58,14.73,14.31,14.6,14.59,15.33,14.69,11,10.69,11.3,1.04,1,1.01,1.04,0.55,11.18
Araguainha (MT),75.61,14.4,14.59,11.4,11.2,12.36,12.88,0,125,0,0,0,,,,,,9.69
Araguanã (MA),67.34,38.6,28.15,3.22,3.3,3.12,3.38,16.3,0,21.51,10.64,10.31,2.72,1.76,3.23,4.26,3.09,60.27
Araguanã (TO),70.37,25.5,17.83,7.83,7.65,7.72,7.95,28.3,24.69,10.87,0,0,1.89,2.47,2.17,1.15,,25.5
Araguapaz (GO),73.86,14.8,17.94,9.81,10.33,10.7,9.71,0,21.28,19.61,0,21.74,,,,1.14,1.09,9.57
Araguari (MG),77.28,11.71,4.8,20.55,22.53,22.94,22.29,11.36,7.93,13.48,11.61,14.78,0.64,0.65,0.54,0.51,0.77,4.22
Araguatins (TO),72.56,19.6,19.77,7.15,7.07,6.92,7.2,17.61,6.18,13.36,11.15,12.3,1.57,1.85,0.83,1.12,1.05,36.03
Araioses (MA),67.52,37.9,33.7,3.57,3.8,3.74,3.77,15.44,8.55,14.68,19.82,24.62,3.6,0.85,2.02,1.08,1.14,57.65
Aral Moreira (MS),72.9,21.7,14.28,35.47,34.56,28.97,33.35,11.63,12.58,20.27,17.34,6.02,1.74,3.77,3.38,1.16,5.42,26.82
Aramari (BA),70.63,25.5,19.58,4.77,4.88,4.73,4.95,9.09,36.7,22.73,0,8.4,0.91,0.92,0.76,0.7,0.84,39.06
Arambaré (RS),74.98,12.8,7.38,22.88,24.05,24.96,23.28,23.26,0,0,0,24.39,,,,4.76,,11.37
Arame (MA),67.06,39.6,33.02,4.22,4.39,4.06,4.6,9.05,15.6,17.95,17.18,14.75,3.47,2.95,3.77,3.44,2.46,64.91
Aramina (SP),76.34,12.8,6.2,17.84,15.99,14.72,15.11,0,12.99,14.49,0,0,,,,,,3.04
Arandu (SP),73.36,17.4,8.71,9.43,10.12,9.29,13.7,0,41.1,13.33,0,30.93,,1.37,,,1.03,6.53
Arantina (MG),75.05,15.2,10.34,14.47,11.15,11.03,12.33,0,0,0,0,0,,,,,,18.11
Arapeí (SP),73.72,16.8,7.68,7.44,7.36,6.96,6.83,0,0,71.43,0,71.43,,,,,,15.5
Arapiraca (AL),71.82,22,22.45,10.93,11.8,12.3,11.45,14.01,15.01,12.61,14.82,10.63,1.45,1.43,1.02,0.93,1.01,26.65
Arapoema (TO),73.59,17.1,17.43,9.59,10.03,10.22,10.42,9.52,0,10.53,10.31,0,2.86,1.06,2.11,2.06,1.96,20.89
Araponga (MG),70.6,23.1,22.25,5.81,5.91,6.09,6.47,0,0,0,10.31,0,,,,,,24.49
Arapongas (PR),75.02,13.33,5,28.53,27.64,24.31,22.88,13.86,10.27,15.97,12.16,10.07,0.24,0.72,0.68,0.32,0.44,2.49
Araporã (MG),73.78,17.3,8.29,78.62,93.73,147.81,106.93,0,24.39,8.4,8.93,8,1.03,,0.84,0.89,0.8,7.81
Arapoti (PR),74.39,13.5,7.68,27.02,27.27,27.05,24.96,10.84,2.8,25.35,11.14,10.1,0.54,1.12,0.85,1.67,2.02,14.17
Arapuá (MG),77.27,12.1,7.98,25.97,25.74,25.11,26.97,76.92,0,0,0,58.82,,,,,,3.03
Arapuã (PR),74.66,13.2,16.59,22.16,20.37,20,19.04,0,29.41,0,16.13,0,,,,,,23.92
Araputanga (MT),74.56,16.1,11.13,16.06,16.74,16.68,17.08,4.18,10.75,12.24,12.5,7.49,1.26,1.08,0.41,0.42,0.75,9.03
Araquari (SC),74.82,13.8,5.68,28.78,41.45,60.6,62.8,13.07,14.17,0,1.82,7.14,2.18,0.81,0.55,1.46,0.54,4.69
Araranguá (SC),76.17,12,4.45,17.41,18.26,17,15.72,14.48,5.6,7.43,12.29,10.91,0.97,0.78,0.32,0.34,0.22,2.9
Arara (PB),67.69,35,38.52,4.58,4.64,4.62,4.45,6.62,7.58,24.24,8.93,9.35,0.66,1.52,1.82,4.46,1.87,42.53
Araraquara (SP),77.64,10.23,3.61,28.39,27.85,26.57,25.94,13.69,10.25,11.5,8.75,10.46,0.7,0.27,0.47,0.55,0.25,2.64
Araras (SP),76.55,11.5,4.75,27.89,26.95,25.57,25.5,4.64,8.61,9.36,11.87,12.11,0.8,0.49,0.94,0.66,0.2,2.31
Ararendá (CE),70.76,24.3,34.02,3.73,4.22,4.06,4.01,10.1,16,39.6,34.78,8.26,2.02,0.8,,2.61,,51.04
Araricá (RS),74.41,13.6,4.94,19.71,22.78,19.52,18.87,12.2,9.26,10.75,10.53,0,,,,2.11,,1.81
Arari (MA),70.82,26.8,22.02,4.89,5.39,5.19,5.32,16.81,13.57,6.33,8.3,12.53,1.47,1.81,1.05,0.41,,38.56
Araripe (CE),70.54,24.9,33.54,4.8,5.75,5.1,4.62,2.93,17.39,2.79,16.95,10.26,1.17,0.87,3.06,0.85,1.54,56
Araripina (PE),72.12,21,25.33,7.08,7.45,6.61,6.27,11.87,17.59,16,13.36,12.66,1.45,2.26,2.34,0.67,1.4,37.84
Araruama (RJ),75.32,14.18,7.41,14.53,13.43,13.23,13.11,13.01,15.54,13.94,15.04,10.66,0.99,0.72,0.64,0.98,0.63,11.6
Araruna (PB),70.45,26,39.54,4.96,5.09,5.06,5.08,11.32,16.67,5.15,21.28,18.78,1.51,0.42,1.55,1.06,1.41,44.45
Araruna (PR),72.08,18.1,9.84,24.26,23.99,21.95,21.18,11.43,10.31,10.1,4.85,5.26,1.14,2.06,0.51,0.49,1.05,6.74
Arataca (BA),70.46,26,31.58,5.24,6.13,6.1,5.56,21.74,7.69,8.06,15.27,0,2.17,2.31,,3.05,3.39,38.64
Aratiba (RS),76.38,11.7,4.38,110.08,71.61,100.9,95.75,0,0,0,0,0,,1.85,,,,2.62
Aratuba (CE),71.49,22.3,25.35,4.75,5.68,5.32,5.5,6.41,11.11,11.63,0,12.27,,,0.58,,1.23,46.35
Aratuípe (BA),70.2,26.8,24.62,4.9,5.12,5.03,4.89,22.73,7.75,8.26,39.37,22.22,,0.78,0.83,0.79,1.48,39.85
Arauá (SE),72,21.8,27.51,7.62,7.54,7.43,7.07,15.27,12.5,6.41,14.49,12.99,2.29,2.5,1.28,1.45,0.65,43.43
Araucária (PR),76.11,12.04,3.57,44.3,51.16,75.49,83.22,8.99,12.58,8.54,7.1,11.03,0.9,0.81,0.69,0.31,0.3,3.13
Araújos (MG),76.27,13.4,8.1,20.59,21.72,19.57,19.88,11.36,8.33,7.87,11.24,10.64,,0.83,,,2.13,1.36
Araxá (MG),76.49,13.1,4.2,35.65,37.02,34.61,30.61,13.64,12.13,9.55,11.02,9.25,0.68,0.86,0.7,0.45,0.46,2.91
Arceburgo (MG),73.61,17.6,10.82,19.16,16.95,16.11,16.64,19.61,0,9.62,0,13.89,0.98,1.14,,1.61,,2.94
Arco-Íris (SP),73.52,17.1,15.3,14.34,14.29,16.41,18.43,0,0,33.33,0,0,,,,,,9.52
Arcos (MG),77.43,11.8,4.94,27.89,26.5,22.89,18.43,10.35,6.37,5.92,8.75,16.06,0.41,0.85,0.79,0.88,0.4,4.34
Arcoverde (PE),72.95,18.9,17.57,9.05,9.47,7.99,8.63,18.21,11.22,14.41,15.73,27.63,1.13,1.47,1.17,0.79,0.52,28.8
